global_id,parent_group,source_dataset,scene_id,candidate_split,query_id,event_id,candidate_index,start_row,start_col,goal_row,goal_col,distance_cells,angle_deg,radius_cells
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q002,obs_015959:q002:r00,2,191,128,226,148,40,60,0
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q002,obs_015959:q002:r10,2,191,128,226,148,40,60,10
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q002,obs_015959:q002:r20,2,191,128,226,148,40,60,20
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q009,obs_015959:q009:r00,9,191,128,151,128,40,270,0
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q009,obs_015959:q009:r10,9,191,128,151,128,40,270,10
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q009,obs_015959:q009:r20,9,191,128,151,128,40,270,20
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q003,obs_015959:q003:r00,3,191,128,231,128,40,90,0
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q003,obs_015959:q003:r10,3,191,128,231,128,40,90,10
obs_015959,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_015959:q003,obs_015959:q003:r20,3,191,128,231,128,40,90,20
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q000,obs_012019:q000:r00,0,190,128,190,168,40,0,0
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q000,obs_012019:q000:r10,0,190,128,190,168,40,0,10
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q000,obs_012019:q000:r20,0,190,128,190,168,40,0,20
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q001,obs_012019:q001:r00,1,190,128,210,163,40,30,0
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q001,obs_012019:q001:r10,1,190,128,210,163,40,30,10
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q001,obs_012019:q001:r20,1,190,128,210,163,40,30,20
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q004,obs_012019:q004:r00,4,190,128,225,108,40,120,0
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q004,obs_012019:q004:r10,4,190,128,225,108,40,120,10
obs_012019,3RScan:0cac766c-8d6f-2d13-8cde-44c997b5e8a7,3RScan,dbeb4d67-faf9-2324-9960-d9db614caeff,train,obs_012019:q004,obs_012019:q004:r20,4,190,128,225,108,40,120,20
obs_002701,3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train,obs_002701:q004,obs_002701:q004:r00,4,191,128,226,108,40,120,0
obs_002701,3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train,obs_002701:q004,obs_002701:q004:r10,4,191,128,226,108,40,120,10
obs_002701,3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train,obs_002701:q004,obs_002701:q004:r20,4,191,128,226,108,40,120,20
obs_002701,3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train,obs_002701:q005,obs_002701:q005:r00,5,191,128,211,93,40,150,0
obs_002701,3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train,obs_002701:q005,obs_002701:q005:r10,5,191,128,211,93,40,150,10
obs_002701,3RScan:0cac764c-8d6f-2d13-8fec-15edfc3e53ad,3RScan,0cac764a-8d6f-2d13-8fbd-2966f09c65d0,train,obs_002701:q005,obs_002701:q005:r20,5,191,128,211,93,40,150,20
